ds;dt;P;V
2019-01-24 03:00;556;0.1736;3.8
2019-01-24 04:00;557;1.3537;3.5
2019-01-24 05:00;558;0.3986;4.4
2019-01-24 06:00;559;0.0317;3.2
2019-01-24 07:00;560;0;2
2019-01-24 08:00;561;0;1.9
2019-01-24 09:00;562;0;1.5
2019-01-24 10:00;563;0;1.1
2019-01-24 11:00;564;0;1.1
2019-01-24 12:00;565;0.0211;2.2
2019-01-24 13:00;566;0.2158;3.5
2019-01-24 14:00;567;0.1261;3.1
2019-01-24 15:00;568;0.3465;3.3
2019-01-24 16:00;569;0.1452;3.5
2019-01-24 17:00;570;0.0007;2.6
2019-01-24 18:00;571;0.2066;2.8
2019-01-24 19:00;572;0.3056;3.6
2019-01-24 20:00;573;0.1472;3.4
2019-01-24 21:00;574;0.0917;3.3
2019-01-24 22:00;575;0.1406;2.8
2019-01-24 23:00;576;0.532;3.8
2019-01-25 00:00;577;0.6778;4.4
2019-01-25 01:00;578;0.7194;4.8
2019-01-25 02:00;579;0.7227;4.3
2019-01-25 03:00;580;0.5504;4.8
2019-01-25 04:00;581;0.5082;3.8
2019-01-25 05:00;582;0.9491;4.6
2019-01-25 06:00;583;1.39;5
2019-01-25 07:00;584;2.0447;6.9
2019-01-25 08:00;585;1.4071;6.4
2019-01-25 09:00;586;1.2764;5.6
2019-01-25 10:00;587;0.4475;4.4
2019-01-25 11:00;588;0.031;3
2019-01-25 12:00;589;0;2.6
2019-01-25 13:00;590;0.0614;2.3
2019-01-25 14:00;591;0.7517;3.7
2019-01-25 15:00;592;0.6164;5.2
2019-01-25 16:00;593;0.7082;4.1
2019-01-25 17:00;594;2.2638;5.6
2019-01-25 18:00;595;3.0782;7.6
2019-01-25 19:00;596;2.0077;8.1
2019-01-25 20:00;597;1.3292;6.7
2019-01-25 21:00;598;0.3808;4.5
2019-01-25 22:00;599;0.0904;3.3
2019-01-25 23:00;600;0.2211;3.1
2019-01-26 00:00;601;0.5821;4.1
2019-01-26 01:00;602;0.5003;4.4
2019-01-26 02:00;603;0.5108;4.5
2019-01-26 03:00;604;0.4448;3.5
2019-01-26 04:00;605;0.0376;3.4
2019-01-26 05:00;606;0.0759;2.5
2019-01-26 06:00;607;0.0574;3.2
2019-01-26 07:00;608;0.2944;2.9
2019-01-26 08:00;609;0.6204;4.1
2019-01-26 09:00;610;0.3419;4.3
2019-01-26 10:00;611;0.233;3.5
2019-01-26 11:00;612;0.3399;3.6
2019-01-26 12:00;613;0.5498;4.1
2019-01-26 13:00;614;0.662;4.7
2019-01-26 14:00;615;1.1873;4.6
2019-01-26 15:00;616;1.1563;5.9
2019-01-26 16:00;617;1.0223;5.2
2019-01-26 17:00;618;1.0593;5.4
2019-01-26 18:00;619;1.2118;5.4
2019-01-26 19:00;620;0.7821;5.7
2019-01-26 20:00;621;0.9425;4.9
2019-01-26 21:00;622;0.724;5.1
2019-01-26 22:00;623;0.4917;4.5
2019-01-26 23:00;624;0.3518;3.9
2019-01-27 00:00;625;0.1584;3.2
2019-01-27 01:00;626;0.0277;3
2019-01-27 02:00;627;0;2.5
2019-01-27 03:00;628;0.2521;2.4
2019-01-27 04:00;629;2.0572;5.3
2019-01-27 05:00;630;3.6736;7.5
2019-01-27 06:00;631;4.7098;9.9
2019-01-27 07:00;632;4.3303;9.2
2019-01-27 08:00;633;4.3936;9.1
2019-01-27 09:00;634;3.6505;8.8
2019-01-27 10:00;635;4.6253;8.8
2019-01-27 11:00;636;4.1349;9.8
2019-01-27 12:00;637;3.2129;8.1
2019-01-27 13:00;638;2.64;8.5
