i;P;dt
768;4.1060;1405
838;4.0700;1406
799;3.7760;1407
711;3.2150;1408
556;2.3620;1409
355;1.2230;1410
137;0.1260;1411
6;0;1412
0;0;1413
0;0;1414
0;0;1415
0;0;1416
0;0;1417
0;0;1418
0;0;1419
0;0;1420
0;0;1421
0;0;1422
0;0;1423
1;0.1500;1424
61;1.4690;1425
222;2.5450;1426
453;3.2080;1427
663;3.8040;1428
764;3.9450;1429
811;3.8790;1430
745;3.7360;1431
686;3.1850;1432
493;1.8230;1433
164;0.8770;1434
126;0.0580;1435
10;0;1436
0;0;1437
0;0;1438
0;0;1439
0;0;1440
0;0;1441
0;0;1442
0;0;1443
0;0;1444
0;0;1445
0;0;1446
0;0;1447
1;0.0880;1448
19;0.9630;1449
74;2.2080;1450
253;2.7650;1451
471;3.2180;1452
550;3.5460;1453
501;3.4870;1454
591;3.2280;1455
653;2.9160;1456
515;2.1040;1457
276;0.9680;1458
106;0.0910;1459
6;0;1460
0;0;1461
0;0;1462
0;0;1463
0;0;1464
0;0;1465
0;0;1466
0;0;1467
0;0;1468
0;0;1469
0;0;1470
0;0;1471
1;0.1770;1472
22;1.4240;1473
78;2.5370;1474
161;3.3210;1475
187;3.7160;1476
168;3.9260;1477
171;3.8810;1478
124;3.7620;1479
131;3.2060;1480
101;2.3140;1481
62;1.1790;1482
20;0.1340;1483
0;0;1484
0;0;1485
0;0;1486
0;0;1487
0;0;1488
0;0;1489
0;0;1490
0;0;1491
0;0;1492
0;0;1493
0;0;1494
0;0;1495
3;0.0900;1496
11;0.8250;1497
58;1.8190;1498
113;2.5810;1499
114;3.2530;1500
120;3.7450;1501
193;4.0980;1502
264;4.0060;1503
206;3.4640;1504
189;2.5190;1505
107;1.3000;1506
55;0.1590;1507
5;0;1508
0;0;1509
0;0;1510
0;0;1511
0;0;1512
0;0;1513
0;0;1514
0;0;1515
0;0;1516
0;0;1517
0;0;1518
0;0;1519
4;0.2280;1520
127;1.6110;1521
333;2.8160;1522
541;3.6850;1523
709;4.2160;1524
821;4.4570;1525
864;4.3990;1526
836;4.0740;1527
737;3.4580;1528
578;2.5510;1529
373;1.3230;1530
154;0.1750;1531
6;0;1532
0;0;1533
0;0;1534
0;0;1535
0;0;1536
0;0;1537
0;0;1538
0;0;1539
0;0;1540
0;0;1541
0;0;1542
0;0;1543
2;0.1220;1544
103;1.2770;1545
300;2.6290;1546
544;3.5060;1547
709;4.0180;1548
820;4.2180;1549
863;4.1420;1550
833;3.8230;1551
737;3.2500;1552
582;2.4150;1553
342;1.3080;1554
141;0.1830;1555
8;0;1556
0;0;1557
0;0;1558
0;0;1559
0;0;1560
0;0;1561
0;0;1562
0;0;1563
0;0;1564
0;0;1565
0;0;1566
0;0;1567
2;0.1400;1568
49;1.0660;1569
132;2.0140;1570
202;2.6230;1571
294;1.9990;1572
273;1.6080;1573
286;1.7100;1574
209;1.8700;1575
188;1.7020;1576
165;1.5190;1577
137;0.9950;1578
92;0.0920;1579
5;0;1580
0;0;1581
0;0;1582
0;0;1583
0;0;1584
0;0;1585
0;0;1586
0;0;1587
0;0;1588
0;0;1589
0;0;1590
0;0;1591
1;0.0610;1592
50;0.4770;1593
144;0.8310;1594
213;1.1440;1595
289;1.3550;1596
302;1.2520;1597
216;1.1540;1598
226;1.1400;1599
151;0.9510;1600
92;0.7420;1601
53;0.2720;1602
17;0.0200;1603
2;0;1604
0;0;1605
0;0;1606
0;0;1607
0;0;1608
0;0;1609
0;0;1610
0;0;1611
0;0;1612
0;0;1613
0;0;1614
1;0;1615
6;0.2820;1616
142;1.6230;1617
363;2.7670;1618
573;3.5800;1619
740;4.0760;1620
853;4.2900;1621
875;4.2390;1622
865;3.9210;1623
731;3.2470;1624
570;1.8460;1625
359;0.7250;1626
128;0.0710;1627
6;0;1628
0;0;1629
0;0;1630
0;0;1631
0;0;1632
0;0;1633
0;0;1634
0;0;1635
0;0;1636
0;0;1637
0;0;1638
0;0;1639
2;0.0420;1640
52;0.3690;1641
117;0.9270;1642
212;1.5570;1643
369;2.1030;1644
477;2.8160;1645
705;2.8260;1646
678;2.2510;1647
314;1.7280;1648
297;1.1270;1649
203;0.4840;1650
65;0.0480;1651
4;0;1652
0;0;1653
0;0;1654
0;0;1655
0;0;1656
0;0;1657
0;0;1658
0;0;1659
0;0;1660
0;0;1661
0;0;1662
0;0;1663
3;0.1880;1664
62;0.8900;1665
211;1.7720;1666
323;2.6950;1667
360;3.5060;1668
327;3.4880;1669
418;2.7990;1670
256;2.2490;1671
153;1.1120;1672
188;0.5210;1673
77;0.1850;1674
24;0.0120;1675
1;0;1676
0;0;1677
0;0;1678
0;0;1679
0;0;1680
0;0;1681
0;0;1682
0;0;1683
0;0;1684
0;0;1685
0;0;1686
0;0;1687
1;0.0620;1688
24;0.5460;1689
115;1.0390;1690
236;1.3000;1691
123;1.4070;1692
96;1.7870;1693
100;2.2720;1694
56;2.5280;1695
45;1.7030;1696
30;1.0510;1697
17;0.3540;1698
9;0.0470;1699
9;0;1700
0;0;1701
0;0;1702
0;0;1703
0;0;1704
0;0;1705
0;0;1706
0;0;1707
0;0;1708
0;0;1709
